Episode,Reward,Frames,Epsilon
483,10,1038995,0.01
484,19,1040721,0.01
485,17,1042595,0.01
486,-1,1045211,0.01
487,-1,1047771,0.01
488,-1,1050330,0.01
489,19,1052057,0.01
490,4,1054402,0.01
491,13,1056528,0.01
492,13,1058538,0.01
493,16,1060506,0.01
494,19,1062228,0.01
495,13,1064188,0.01
496,16,1066058,0.01
497,18,1067880,0.01
498,9,1070147,0.01
499,7,1072520,0.01
500,-15,1073895,0.01
