Checkpoint guardado en episodio 0
Episodio: 310, Recompensa: 8.0, Epsilon: 0.01, Frames: 656801
Checkpoint guardado en episodio 310
Episodio: 311, Recompensa: 6.0, Epsilon: 0.01, Frames: 659552
Episodio: 312, Recompensa: 16.0, Epsilon: 0.01, Frames: 661577
Episodio: 313, Recompensa: -1.0, Epsilon: 0.01, Frames: 663993
Episodio: 314, Recompensa: 8.0, Epsilon: 0.01, Frames: 666106
Episodio: 315, Recompensa: 20.0, Epsilon: 0.01, Frames: 667762
Episodio: 316, Recompensa: 18.0, Epsilon: 0.01, Frames: 669548
Episodio: 317, Recompensa: 6.0, Epsilon: 0.01, Frames: 672100
Episodio: 318, Recompensa: 8.0, Epsilon: 0.01, Frames: 674448
Episodio: 319, Recompensa: 9.0, Epsilon: 0.01, Frames: 676782
Episodio: 320, Recompensa: -6.0, Epsilon: 0.01, Frames: 679212
Checkpoint guardado en episodio 320
Episodio: 321, Recompensa: 1.0, Epsilon: 0.01, Frames: 682112
Episodio: 322, Recompensa: 6.0, Epsilon: 0.01, Frames: 684663
Episodio: 323, Recompensa: 14.0, Epsilon: 0.01, Frames: 686814
Episodio: 324, Recompensa: 12.0, Epsilon: 0.01, Frames: 688968
Episodio: 325, Recompensa: 16.0, Epsilon: 0.01, Frames: 690994
Episodio: 326, Recompensa: 5.0, Epsilon: 0.01, Frames: 693545
Episodio: 327, Recompensa: -14.0, Epsilon: 0.01, Frames: 694960
Episodio: 328, Recompensa: 8.0, Epsilon: 0.01, Frames: 697443
Episodio: 329, Recompensa: 15.0, Epsilon: 0.01, Frames: 699512
Episodio: 330, Recompensa: 5.0, Epsilon: 0.01, Frames: 702026
Checkpoint guardado en episodio 330
Episodio: 331, Recompensa: 9.0, Epsilon: 0.01, Frames: 704296
Episodio: 332, Recompensa: 18.0, Epsilon: 0.01, Frames: 706309
Episodio: 333, Recompensa: 11.0, Epsilon: 0.01, Frames: 708443
Episodio: 334, Recompensa: 15.0, Epsilon: 0.01, Frames: 710412
Episodio: 335, Recompensa: 9.0, Epsilon: 0.01, Frames: 712876
Episodio: 336, Recompensa: 14.0, Epsilon: 0.01, Frames: 714996
Episodio: 337, Recompensa: -1.0, Epsilon: 0.01, Frames: 717606
Episodio: 338, Recompensa: -1.0, Epsilon: 0.01, Frames: 720199
Episodio: 339, Recompensa: 17.0, Epsilon: 0.01, Frames: 722053
Episodio: 340, Recompensa: 19.0, Epsilon: 0.01, Frames: 723893
Checkpoint guardado en episodio 340
Episodio: 341, Recompensa: 6.0, Epsilon: 0.01, Frames: 726309
Episodio: 342, Recompensa: 14.0, Epsilon: 0.01, Frames: 728330
Episodio: 343, Recompensa: 2.0, Epsilon: 0.01, Frames: 730985
Episodio: 344, Recompensa: 12.0, Epsilon: 0.01, Frames: 733152
Episodio: 345, Recompensa: -1.0, Epsilon: 0.01, Frames: 735797
Episodio: 346, Recompensa: 14.0, Epsilon: 0.01, Frames: 737730
Episodio: 347, Recompensa: 9.0, Epsilon: 0.01, Frames: 739997
Episodio: 348, Recompensa: -1.0, Epsilon: 0.01, Frames: 742622
Episodio: 349, Recompensa: -1.0, Epsilon: 0.01, Frames: 745112
Episodio: 350, Recompensa: -15.0, Epsilon: 0.01, Frames: 746738
Checkpoint guardado en episodio 350
Episodio: 351, Recompensa: -1.0, Epsilon: 0.01, Frames: 749337
